rootbeerid,brandid,containertype,locationid,purchasedate
100075,10001,Can,2,2015-10-22
100098,10001,Bottle,2,2015-11-05
100057,10001,Bottle,2,2015-11-21
100009,10001,Bottle,1,2015-11-24
100067,10001,Can,1,2015-11-25
100143,10001,Can,2,2015-11-27
100128,10001,Bottle,1,2015-11-29
100144,10001,Can,1,2015-12-02
100025,10001,Can,2,2015-12-06
100112,10001,Can,1,2015-12-07
100110,10001,Bottle,2,2015-12-25
100023,10001,Bottle,2,2016-01-19
100108,10001,Bottle,1,2016-01-22
100115,10001,Can,1,2016-02-08
100113,10001,Can,1,2016-02-26
100103,10001,Bottle,1,2016-02-29
100096,10001,Bottle,1,2016-03-02
100033,10001,Bottle,1,2016-03-04
100117,10001,Can,2,2016-03-24
100083,10001,Can,2,2016-04-05
100127,10001,Can,1,2016-04-18
100074,10001,Bottle,2,2016-04-20
100021,10001,Can,1,2016-04-28
100077,10001,Can,1,2016-04-30
100051,10001,Bottle,1,2016-05-07
100001,10001,Bottle,1,2016-05-09
100007,10001,Bottle,2,2016-05-13
100030,10001,Bottle,1,2016-05-31
100094,10001,Bottle,1,2016-06-07
100104,10001,Bottle,1,2016-06-10
100063,10001,Can,1,2016-06-21
100006,10001,Bottle,1,2016-07-02
100055,10001,Can,1,2016-07-14
106389,10001,Can,1,2016-07-31
100087,10001,Can,1,2016-08-13
100132,10001,Can,1,2016-08-16
106395,10001,Bottle,2,2016-08-19
106340,10001,Bottle,2,2016-08-19
106388,10001,Bottle,2,2016-09-02
106310,10001,Can,1,2016-09-13
106414,10001,Can,1,2016-09-20
100333,10002,Bottle,1,2014-06-28
100271,10002,Bottle,2,2014-07-03
100383,10002,Bottle,1,2014-08-02
100337,10002,Bottle,1,2014-08-11
100176,10002,Bottle,2,2014-08-15
100206,10002,Bottle,2,2014-08-16
100205,10002,Bottle,1,2014-08-28
100306,10002,Bottle,1,2014-08-29
100313,10002,Bottle,1,2014-09-07
100280,10002,Bottle,1,2014-09-07
100385,10002,Bottle,2,2014-09-08
100305,10002,Bottle,1,2014-09-16
100297,10002,Bottle,1,2014-09-19
100202,10002,Bottle,1,2014-10-19
100239,10002,Bottle,1,2014-10-29
100329,10002,Bottle,2,2014-11-15
100175,10002,Bottle,1,2014-11-20
100384,10002,Bottle,1,2014-11-20
100254,10002,Bottle,1,2014-11-30
100378,10002,Bottle,1,2014-11-30
100185,10002,Bottle,1,2014-12-12
100397,10002,Bottle,1,2014-12-23
100241,10002,Bottle,1,2014-12-25
100324,10002,Bottle,2,2014-12-31
100354,10002,Bottle,1,2015-01-04
100275,10002,Bottle,2,2015-01-05
100302,10002,Bottle,1,2015-01-07
100390,10002,Bottle,2,2015-01-13
100252,10002,Bottle,1,2015-01-16
100296,10002,Bottle,2,2015-01-17
100394,10002,Bottle,2,2015-01-29
100308,10002,Bottle,1,2015-01-31
100371,10002,Bottle,2,2015-02-02
100260,10002,Bottle,1,2015-02-07
100174,10002,Bottle,1,2015-02-08
100300,10002,Bottle,2,2015-02-11
100381,10002,Bottle,1,2015-02-11
100256,10002,Bottle,1,2015-02-12
100270,10002,Bottle,2,2015-02-16
100204,10002,Bottle,2,2015-02-23
100405,10002,Bottle,1,2015-03-04
100402,10002,Bottle,1,2015-03-05
100273,10002,Bottle,1,2015-03-06
100414,10002,Bottle,2,2015-03-12
100233,10002,Bottle,1,2015-03-18
100209,10002,Bottle,2,2015-03-21
100160,10002,Bottle,2,2015-03-23
100152,10002,Bottle,1,2015-03-23
100398,10002,Bottle,1,2015-03-29
100410,10002,Bottle,2,2015-03-31
100265,10002,Bottle,2,2015-04-02
100226,10002,Bottle,1,2015-04-03
100224,10002,Bottle,1,2015-04-04
100191,10002,Bottle,2,2015-04-07
100257,10002,Bottle,1,2015-04-08
100360,10002,Bottle,2,2015-04-11
100389,10002,Bottle,2,2015-04-12
100413,10002,Bottle,1,2015-04-12
100240,10002,Bottle,2,2015-04-13
100178,10002,Bottle,2,2015-04-16
100281,10002,Bottle,2,2015-04-17
100189,10002,Bottle,1,2015-04-20
100351,10002,Bottle,2,2015-04-21
100357,10002,Bottle,1,2015-04-22
100170,10002,Bottle,1,2015-04-22
100259,10002,Bottle,1,2015-04-28
100355,10002,Bottle,2,2015-04-29
100391,10002,Bottle,2,2015-04-30
100255,10002,Bottle,1,2015-05-02
100322,10002,Bottle,2,2015-05-02
100418,10002,Bottle,1,2015-05-03
100268,10002,Bottle,2,2015-05-07
100350,10002,Bottle,2,2015-05-08
100228,10002,Bottle,2,2015-05-09
100245,10002,Bottle,1,2015-05-12
100264,10002,Bottle,1,2015-05-13
100317,10002,Bottle,2,2015-05-13
100182,10002,Bottle,2,2015-05-14
100149,10002,Bottle,2,2015-05-15
100286,10002,Bottle,2,2015-05-19
100291,10002,Bottle,2,2015-05-20
100320,10002,Bottle,2,2015-05-21
100199,10002,Bottle,1,2015-05-26
100367,10002,Bottle,1,2015-05-26
100366,10002,Bottle,2,2015-05-26
100235,10002,Bottle,2,2015-05-27
100250,10002,Bottle,1,2015-05-30
100382,10002,Bottle,1,2015-06-01
100361,10002,Bottle,2,2015-06-02
100341,10002,Bottle,2,2015-06-03
100311,10002,Bottle,2,2015-06-03
100406,10002,Bottle,1,2015-06-04
100173,10002,Bottle,2,2015-06-04
100223,10002,Bottle,1,2015-06-10
100387,10002,Bottle,1,2015-06-13
100407,10002,Bottle,1,2015-06-15
100330,10002,Bottle,2,2015-06-17
100349,10002,Bottle,2,2015-06-18
100369,10002,Bottle,1,2015-06-19
100148,10002,Bottle,2,2015-06-20
100288,10002,Bottle,2,2015-06-21
100388,10002,Bottle,2,2015-06-22
100298,10002,Bottle,1,2015-06-22
100316,10002,Bottle,2,2015-06-22
100195,10002,Bottle,2,2015-06-22
100188,10002,Bottle,2,2015-06-24
100332,10002,Bottle,2,2015-06-25
100164,10002,Bottle,1,2015-06-25
100400,10002,Bottle,1,2015-06-25
100331,10002,Bottle,2,2015-06-25
100396,10002,Bottle,2,2015-06-26
100212,10002,Bottle,1,2015-06-27
100412,10002,Bottle,2,2015-06-30
100196,10002,Bottle,2,2015-06-30
100193,10002,Bottle,1,2015-07-03
100282,10002,Bottle,1,2015-07-04
100219,10002,Bottle,2,2015-07-04
100299,10002,Bottle,1,2015-07-05
100216,10002,Bottle,2,2015-07-09
100156,10002,Bottle,1,2015-07-12
100230,10002,Bottle,1,2015-07-12
100203,10002,Bottle,1,2015-07-13
100377,10002,Bottle,2,2015-07-13
100168,10002,Bottle,2,2015-07-14
100321,10002,Bottle,2,2015-07-15
100289,10002,Bottle,1,2015-07-15
100309,10002,Bottle,1,2015-07-17
100236,10002,Bottle,2,2015-07-17
100304,10002,Bottle,1,2015-07-19
100404,10002,Bottle,2,2015-07-21
100318,10002,Bottle,1,2015-07-21
100283,10002,Bottle,1,2015-07-24
100162,10002,Bottle,2,2015-07-26
100248,10002,Bottle,2,2015-07-27
100181,10002,Bottle,1,2015-07-28
100190,10002,Bottle,1,2015-07-30
100231,10002,Bottle,1,2015-07-30
100194,10002,Bottle,1,2015-08-01
100375,10002,Bottle,2,2015-08-02
100220,10002,Bottle,1,2015-08-03
100315,10002,Bottle,1,2015-08-05
100169,10002,Bottle,2,2015-08-08
100323,10002,Bottle,1,2015-08-08
100177,10002,Bottle,1,2015-08-10
100208,10002,Bottle,1,2015-08-12
100147,10002,Bottle,2,2015-08-13
100211,10002,Bottle,2,2015-08-16
100158,10002,Bottle,1,2015-08-16
100295,10002,Bottle,1,2015-08-19
100345,10002,Bottle,1,2015-08-21
100179,10002,Bottle,2,2015-08-22
100210,10002,Bottle,2,2015-08-23
100408,10002,Bottle,2,2015-08-23
100310,10002,Bottle,1,2015-08-25
100151,10002,Bottle,2,2015-08-28
100294,10002,Bottle,2,2015-08-29
100328,10002,Bottle,1,2015-08-30
100261,10002,Bottle,1,2015-08-31
100284,10002,Bottle,1,2015-09-01
100171,10002,Bottle,2,2015-09-01
100244,10002,Bottle,2,2015-09-07
100263,10002,Bottle,2,2015-09-08
100363,10002,Bottle,2,2015-09-12
100213,10002,Bottle,2,2015-09-13
100246,10002,Bottle,2,2015-09-14
100374,10002,Bottle,1,2015-09-15
100269,10002,Bottle,2,2015-09-17
100150,10002,Bottle,2,2015-09-18
100325,10002,Bottle,1,2015-09-19
100197,10002,Bottle,2,2015-09-19
100342,10002,Bottle,2,2015-09-19
100356,10002,Bottle,1,2015-09-29
100207,10002,Bottle,2,2015-10-04
100340,10002,Bottle,2,2015-10-08
100167,10002,Bottle,1,2015-10-09
100165,10002,Bottle,1,2015-10-10
100253,10002,Bottle,1,2015-10-13
100336,10002,Bottle,2,2015-10-20
100163,10002,Bottle,1,2015-10-20
100338,10002,Bottle,2,2015-10-20
100335,10002,Bottle,1,2015-10-23
100326,10002,Bottle,2,2015-10-31
100334,10002,Bottle,2,2015-11-05
100180,10002,Bottle,2,2015-11-06
100153,10002,Bottle,1,2015-11-11
100161,10002,Bottle,2,2015-11-12
100379,10002,Bottle,1,2015-11-14
100370,10002,Bottle,1,2015-11-15
100290,10002,Bottle,2,2015-11-21
100415,10002,Bottle,2,2015-12-01
100222,10002,Bottle,1,2015-12-28
100393,10002,Bottle,1,2015-12-30
100344,10002,Bottle,1,2016-01-05
100278,10002,Bottle,1,2016-01-06
100293,10002,Bottle,2,2016-01-09
100225,10002,Bottle,1,2016-01-09
100419,10002,Bottle,1,2016-01-09
100200,10002,Bottle,2,2016-01-12
100155,10002,Bottle,2,2016-01-13
100339,10002,Bottle,2,2016-01-13
100359,10002,Bottle,2,2016-01-14
100229,10002,Bottle,2,2016-01-15
100172,10002,Bottle,1,2016-01-17
100221,10002,Bottle,1,2016-01-19
100403,10002,Bottle,2,2016-01-22
100352,10002,Bottle,1,2016-01-28
100285,10002,Bottle,1,2016-01-28
100166,10002,Bottle,2,2016-02-02
100279,10002,Bottle,1,2016-02-15
100314,10002,Bottle,2,2016-02-17
100215,10002,Bottle,2,2016-02-20
100227,10002,Bottle,1,2016-02-23
100401,10002,Bottle,2,2016-02-29
100380,10002,Bottle,2,2016-03-06
100242,10002,Bottle,1,2016-03-08
100266,10002,Bottle,1,2016-03-08
100373,10002,Bottle,2,2016-03-13
100274,10002,Bottle,2,2016-03-13
100362,10002,Bottle,2,2016-03-18
100301,10002,Bottle,2,2016-03-22
100358,10002,Bottle,1,2016-03-24
100218,10002,Bottle,1,2016-03-25
100399,10002,Bottle,2,2016-04-03
100347,10002,Bottle,2,2016-04-05
100258,10002,Bottle,1,2016-04-07
100277,10002,Bottle,1,2016-04-10
100238,10002,Bottle,1,2016-04-11
100217,10002,Bottle,1,2016-04-12
100192,10002,Bottle,2,2016-04-13
100392,10002,Bottle,1,2016-04-14
100187,10002,Bottle,2,2016-04-16
100346,10002,Bottle,2,2016-04-17
100364,10002,Bottle,2,2016-04-19
100157,10002,Bottle,2,2016-04-19
100201,10002,Bottle,2,2016-04-22
100247,10002,Bottle,1,2016-04-24
100159,10002,Bottle,2,2016-04-25
100368,10002,Bottle,2,2016-05-02
100365,10002,Bottle,2,2016-05-04
100303,10002,Bottle,1,2016-05-07
100319,10002,Bottle,2,2016-05-09
100395,10002,Bottle,1,2016-05-16
100184,10002,Bottle,2,2016-05-17
100251,10002,Bottle,2,2016-05-17
100420,10002,Bottle,2,2016-05-20
100416,10002,Bottle,2,2016-05-20
100234,10002,Bottle,1,2016-05-21
100232,10002,Bottle,1,2016-05-24
100243,10002,Bottle,2,2016-06-03
100417,10002,Bottle,2,2016-06-03
100307,10002,Bottle,2,2016-06-07
100312,10002,Bottle,1,2016-06-14
100376,10002,Bottle,1,2016-06-24
100327,10002,Bottle,1,2016-06-24
100237,10002,Bottle,1,2016-06-24
100348,10002,Bottle,2,2016-06-24
100154,10002,Bottle,1,2016-06-25
100272,10002,Bottle,2,2016-06-26
100372,10002,Bottle,1,2016-06-30
100198,10002,Bottle,2,2016-07-01
100353,10002,Bottle,1,2016-07-07
100262,10002,Bottle,2,2016-07-07
100267,10002,Bottle,2,2016-07-10
100276,10002,Bottle,2,2016-07-13
100343,10002,Bottle,2,2016-07-13
100186,10002,Bottle,1,2016-07-18
100411,10002,Bottle,2,2016-07-21
100249,10002,Bottle,1,2016-08-04
106393,10002,Bottle,1,2016-08-04
100183,10002,Bottle,2,2016-08-06
100386,10002,Bottle,1,2016-08-13
106415,10002,Bottle,2,2016-08-15
100292,10002,Bottle,1,2016-08-18
100214,10002,Bottle,2,2016-08-21
106358,10002,Bottle,2,2016-08-22
100409,10002,Bottle,1,2016-08-27
106354,10002,Bottle,1,2016-09-03
100287,10002,Bottle,2,2016-09-07
106369,10002,Bottle,2,2016-09-08
100506,10003,Bottle,1,2014-08-07
100687,10003,Bottle,1,2014-08-08
100696,10003,Bottle,2,2014-08-30
100605,10003,Bottle,2,2014-09-11
100714,10003,Bottle,2,2014-09-15
100496,10003,Bottle,1,2014-09-19
100575,10003,Bottle,2,2014-09-21
100540,10003,Bottle,2,2014-09-24
100695,10003,Bottle,1,2014-10-15
100728,10003,Bottle,2,2014-10-18
100454,10003,Bottle,1,2014-10-20
100642,10003,Bottle,1,2014-11-02
100543,10003,Bottle,2,2014-11-05
100457,10003,Bottle,2,2014-11-12
100446,10003,Bottle,1,2014-11-18
100732,10003,Bottle,2,2014-11-24
100729,10003,Bottle,1,2014-11-25
100463,10003,Bottle,1,2014-11-30
100658,10003,Bottle,1,2014-12-01
100591,10003,Bottle,1,2014-12-01
100745,10003,Bottle,2,2014-12-03
100571,10003,Bottle,2,2014-12-15
100574,10003,Bottle,1,2014-12-18
100557,10003,Bottle,2,2014-12-28
100553,10003,Bottle,1,2015-01-02
100546,10003,Bottle,2,2015-01-03
100445,10003,Bottle,2,2015-01-05
100584,10003,Bottle,1,2015-01-12
100616,10003,Bottle,2,2015-01-13
100635,10003,Bottle,2,2015-01-14
100631,10003,Bottle,1,2015-01-16
100494,10003,Bottle,1,2015-01-18
100686,10003,Bottle,1,2015-01-20
100458,10003,Bottle,2,2015-01-20
100606,10003,Bottle,1,2015-01-22
100444,10003,Bottle,2,2015-01-24
100504,10003,Bottle,2,2015-01-25
100697,10003,Bottle,1,2015-01-26
100537,10003,Bottle,2,2015-01-28
100633,10003,Bottle,1,2015-02-04
100670,10003,Bottle,2,2015-02-06
100466,10003,Bottle,1,2015-02-09
100559,10003,Bottle,2,2015-02-13
100465,10003,Bottle,1,2015-02-13
100599,10003,Bottle,2,2015-02-22
100472,10003,Bottle,1,2015-02-25
100544,10003,Bottle,1,2015-02-25
100601,10003,Bottle,2,2015-02-27
100450,10003,Bottle,1,2015-03-04
100680,10003,Bottle,2,2015-03-04
100517,10003,Bottle,2,2015-03-05
100724,10003,Bottle,1,2015-03-06
100747,10003,Bottle,1,2015-03-08
100439,10003,Bottle,1,2015-03-13
100573,10003,Bottle,2,2015-03-14
100535,10003,Bottle,2,2015-03-15
100659,10003,Bottle,2,2015-03-18
100499,10003,Bottle,1,2015-03-18
100681,10003,Bottle,2,2015-03-19
100480,10003,Bottle,1,2015-03-21
100644,10003,Bottle,1,2015-03-22
100679,10003,Bottle,1,2015-03-24
100519,10003,Bottle,1,2015-03-24
100750,10003,Bottle,1,2015-03-25
100495,10003,Bottle,1,2015-03-28
100562,10003,Bottle,1,2015-03-30
100638,10003,Bottle,2,2015-03-30
100511,10003,Bottle,2,2015-03-31
100673,10003,Bottle,1,2015-04-02
100621,10003,Bottle,2,2015-04-03
100563,10003,Bottle,1,2015-04-04
100672,10003,Bottle,2,2015-04-06
100436,10003,Bottle,1,2015-04-07
100542,10003,Bottle,2,2015-04-07
100487,10003,Bottle,2,2015-04-07
100556,10003,Bottle,1,2015-04-08
100515,10003,Bottle,1,2015-04-09
100433,10003,Bottle,2,2015-04-11
100582,10003,Bottle,2,2015-04-14
100717,10003,Bottle,2,2015-04-16
100421,10003,Bottle,1,2015-04-17
100564,10003,Bottle,1,2015-04-19
100625,10003,Bottle,2,2015-04-21
100469,10003,Bottle,1,2015-04-24
100723,10003,Bottle,2,2015-04-24
100451,10003,Bottle,2,2015-04-24
100649,10003,Bottle,1,2015-04-26
100434,10003,Bottle,1,2015-04-28
100443,10003,Bottle,2,2015-04-29
100422,10003,Bottle,1,2015-04-30
100711,10003,Bottle,1,2015-05-02
100608,10003,Bottle,1,2015-05-02
100675,10003,Bottle,2,2015-05-07
100661,10003,Bottle,2,2015-05-07
100668,10003,Bottle,2,2015-05-10
100533,10003,Bottle,1,2015-05-17
100685,10003,Bottle,1,2015-05-17
100459,10003,Bottle,2,2015-05-18
100626,10003,Bottle,2,2015-05-18
100481,10003,Bottle,1,2015-05-19
100505,10003,Bottle,1,2015-05-21
100518,10003,Bottle,1,2015-05-22
100501,10003,Bottle,1,2015-05-22
100641,10003,Bottle,2,2015-05-23
100693,10003,Bottle,1,2015-05-23
100510,10003,Bottle,1,2015-05-24
100425,10003,Bottle,2,2015-05-24
100647,10003,Bottle,2,2015-05-24
100449,10003,Bottle,1,2015-05-29
100632,10003,Bottle,1,2015-05-31
100479,10003,Bottle,2,2015-06-04
100754,10003,Bottle,2,2015-06-05
100611,10003,Bottle,1,2015-06-05
100727,10003,Bottle,2,2015-06-10
100623,10003,Bottle,1,2015-06-13
100550,10003,Bottle,1,2015-06-14
100629,10003,Bottle,1,2015-06-14
100536,10003,Bottle,2,2015-06-15
100613,10003,Bottle,1,2015-06-16
100453,10003,Bottle,2,2015-06-21
100718,10003,Bottle,2,2015-06-22
100566,10003,Bottle,2,2015-06-23
100676,10003,Bottle,2,2015-06-23
100708,10003,Bottle,1,2015-06-24
100514,10003,Bottle,1,2015-06-24
100516,10003,Bottle,2,2015-06-25
100678,10003,Bottle,1,2015-06-27
100715,10003,Bottle,1,2015-06-28
100561,10003,Bottle,1,2015-06-28
100520,10003,Bottle,2,2015-06-28
100622,10003,Bottle,2,2015-06-30
100612,10003,Bottle,2,2015-07-01
100526,10003,Bottle,1,2015-07-01
100744,10003,Bottle,1,2015-07-04
100567,10003,Bottle,1,2015-07-08
100712,10003,Bottle,2,2015-07-08
100624,10003,Bottle,1,2015-07-09
100667,10003,Bottle,2,2015-07-09
100486,10003,Bottle,2,2015-07-11
100648,10003,Bottle,1,2015-07-11
100639,10003,Bottle,2,2015-07-12
100743,10003,Bottle,1,2015-07-12
100592,10003,Bottle,1,2015-07-13
100500,10003,Bottle,2,2015-07-14
100452,10003,Bottle,1,2015-07-14
100547,10003,Bottle,2,2015-07-16
100669,10003,Bottle,2,2015-07-16
100738,10003,Bottle,2,2015-07-16
100650,10003,Bottle,2,2015-07-17
100585,10003,Bottle,2,2015-07-19
100464,10003,Bottle,1,2015-07-20
100700,10003,Bottle,1,2015-07-20
100531,10003,Bottle,1,2015-07-20
100545,10003,Bottle,2,2015-07-20
100707,10003,Bottle,1,2015-07-21
100674,10003,Bottle,1,2015-07-21
100521,10003,Bottle,2,2015-07-22
100565,10003,Bottle,1,2015-07-22
100653,10003,Bottle,1,2015-07-24
100634,10003,Bottle,2,2015-07-24
100477,10003,Bottle,1,2015-07-25
100703,10003,Bottle,2,2015-07-25
100607,10003,Bottle,2,2015-07-26
100568,10003,Bottle,2,2015-07-26
100570,10003,Bottle,1,2015-07-26
100447,10003,Bottle,1,2015-07-27
100442,10003,Bottle,1,2015-07-27
100618,10003,Bottle,2,2015-07-28
100426,10003,Bottle,1,2015-07-28
100603,10003,Bottle,2,2015-07-29
100691,10003,Bottle,2,2015-07-29
100751,10003,Bottle,1,2015-07-29
100604,10003,Bottle,1,2015-07-29
100677,10003,Bottle,1,2015-07-30
100742,10003,Bottle,1,2015-08-01
100485,10003,Bottle,1,2015-08-01
100551,10003,Bottle,1,2015-08-03
100663,10003,Bottle,2,2015-08-04
100730,10003,Bottle,2,2015-08-04
100587,10003,Bottle,2,2015-08-05
100735,10003,Bottle,1,2015-08-05
100437,10003,Bottle,1,2015-08-06
100628,10003,Bottle,2,2015-08-07
100474,10003,Bottle,1,2015-08-07
100609,10003,Bottle,2,2015-08-09
100455,10003,Bottle,1,2015-08-09
100423,10003,Bottle,1,2015-08-10
100602,10003,Bottle,1,2015-08-11
100746,10003,Bottle,1,2015-08-13
100484,10003,Bottle,2,2015-08-14
100713,10003,Bottle,1,2015-08-14
100473,10003,Bottle,2,2015-08-18
100733,10003,Bottle,1,2015-08-19
100688,10003,Bottle,1,2015-08-19
100522,10003,Bottle,2,2015-08-19
100660,10003,Bottle,1,2015-08-21
100706,10003,Bottle,2,2015-08-22
100662,10003,Bottle,2,2015-08-22
100497,10003,Bottle,2,2015-08-23
100689,10003,Bottle,1,2015-08-23
100491,10003,Bottle,1,2015-08-24
100507,10003,Bottle,2,2015-08-25
100432,10003,Bottle,2,2015-08-25
100538,10003,Bottle,1,2015-08-26
100654,10003,Bottle,2,2015-08-26
100482,10003,Bottle,2,2015-08-27
100657,10003,Bottle,1,2015-08-27
100475,10003,Bottle,2,2015-08-27
100424,10003,Bottle,1,2015-08-27
100468,10003,Bottle,2,2015-08-27
100560,10003,Bottle,1,2015-08-28
100645,10003,Bottle,2,2015-08-28
100527,10003,Bottle,2,2015-08-30
100737,10003,Bottle,2,2015-08-30
100523,10003,Bottle,1,2015-08-30
100509,10003,Bottle,2,2015-09-02
100558,10003,Bottle,1,2015-09-03
100716,10003,Bottle,2,2015-09-03
100726,10003,Bottle,1,2015-09-04
100725,10003,Bottle,2,2015-09-04
100572,10003,Bottle,1,2015-09-08
100617,10003,Bottle,1,2015-09-09
100569,10003,Bottle,1,2015-09-10
100441,10003,Bottle,1,2015-09-12
100467,10003,Bottle,2,2015-09-12
100597,10003,Bottle,2,2015-09-15
100671,10003,Bottle,2,2015-09-16
100652,10003,Bottle,2,2015-09-17
100615,10003,Bottle,1,2015-09-23
100752,10003,Bottle,2,2015-09-25
100698,10003,Bottle,2,2015-09-29
100690,10003,Bottle,2,2015-09-30
100588,10003,Bottle,2,2015-09-30
100720,10003,Bottle,2,2015-10-01
100532,10003,Bottle,1,2015-10-09
100595,10003,Bottle,1,2015-10-09
100683,10003,Bottle,1,2015-10-20
100583,10003,Bottle,2,2015-10-25
100488,10003,Bottle,2,2015-10-27
100590,10003,Bottle,2,2015-10-28
100640,10003,Bottle,2,2015-10-29
100740,10003,Bottle,2,2015-11-05
100593,10003,Bottle,1,2015-11-06
100581,10003,Bottle,2,2015-11-09
100682,10003,Bottle,2,2015-11-10
100435,10003,Bottle,2,2015-11-13
100524,10003,Bottle,1,2015-11-13
100525,10003,Bottle,1,2015-11-13
100498,10003,Bottle,1,2015-11-15
100502,10003,Bottle,2,2015-11-15
100456,10003,Bottle,1,2015-11-15
100610,10003,Bottle,1,2015-11-15
100699,10003,Bottle,1,2015-11-17
100429,10003,Bottle,1,2015-11-18
100643,10003,Bottle,1,2015-11-18
100471,10003,Bottle,2,2015-11-19
100541,10003,Bottle,2,2015-11-26
100427,10003,Bottle,2,2015-12-05
100508,10003,Bottle,2,2015-12-09
100664,10003,Bottle,1,2015-12-10
100576,10003,Bottle,2,2015-12-10
100637,10003,Bottle,2,2015-12-12
100460,10003,Bottle,1,2015-12-21
100577,10003,Bottle,1,2015-12-21
100448,10003,Bottle,1,2015-12-21
100614,10003,Bottle,2,2015-12-26
100600,10003,Bottle,1,2015-12-28
100704,10003,Bottle,1,2015-12-30
100549,10003,Bottle,2,2016-01-01
100428,10003,Bottle,1,2016-01-01
100627,10003,Bottle,2,2016-01-02
100586,10003,Bottle,2,2016-01-03
